,Fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,Fixed-broadband subscriptions per 100 inhabitants,,,,,,,,,,,,,,,,,,Metadata for fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,500,,53'594,67'776,81'958,99'108,,14'279,15'045,15'740,14'492,28'090,,,,,,,0.00,,0.04,0.04,0.05,0.06,,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission (NCC).,,ITU estimate.,,,,Nigerian Communications Commission,,Nigerian Communications Commission,,Nigerian Communications Commission,,Nigerian Communications Commission,,Nigerian Communications Commission
Niue,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Marianas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,23'297,88'541,205'307,398'758,671'666,991'349,1'244'536,1'457'265,1'577'430,1'668'231,1'723'355,1'785'676,1'857'724,1'910'720,1'977'129,2'042'360,2'097'544,,0.52,1.96,4.53,8.74,14.64,21.44,26.66,30.87,33.01,34.50,35.23,36.12,37.20,37.89,38.83,39.71,40.37,,,Norwegian Posts and Telecommunications Authority (NPTA).,,Norwegian Posts and Telecommunications Authority (NPTA).,,Norwegian Posts and Telecommunications Authority (NPTA).,,Norwegian Posts and Telecommunications Authority (NPTA).,,Norwegian Posts and Telecommunications Authority (NPTA).,,Norwegian Posts and Telecommunications Authority (NPTA).,,OECD.,June.,Norwegian Posts and Telecommunications Authority (NPTA).,Fromt this year excluding fixed wireless broadband subscriptions.,Norwegian Post and Telecommunications Authority (NPT),,Norwegian Post and Telecommunications Authority (NPT),,Norwegian Post and Telecommunications Authority (NPT),,Norwegian Post and Telecommunications Authority (NPT),,Norwegian Post and Telecommunications Authority (NPT),,Norwegian Post and Telecommunications Authority (NPT),,Norwegian Communications Authority,,Norwegian Communications Authority,Source: Statistics Norway.,Norwegian Communications Authority
Oman,,,97,136,668,13'240,20'065,20'177,32'447,41'131,58'556,78'217,113'324,154'290,177'063,233'234,266'983,,,,0.00,0.01,0.03,0.52,0.79,0.79,1.25,1.54,2.09,2.59,3.42,4.25,4.51,5.61,6.19,,,,,,,,,,,,,,,,,Telecommunications Regulatory Authority (TRA).,,Telecommunication Regulatory Authority,,Telecommunication Regulatory Authority,,Telecommunication Regulatory Authority,,Telecommunication Regulatory Authority,,Telecommunication Regulatory Authority,,Telecommunication Regulatory Authority,,Telecommunication Regulatory Authority,Incl. less than 40 subscriptions below 256 Kbps,Telecommunication Regulatory Authority,,Telecommunication Regulatory Authority
Pakistan,,,,,,14'600,26'611,45'153,168'082,391'629,789'487,1'166'301,1'516'809,1'628'105,2'008'684,1'793'199,1'642'805,,,,,,,0.01,0.02,0.03,0.10,0.23,0.46,0.66,0.85,0.89,1.08,0.95,0.86,,,,,,,,,,,,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority,As per data received from Broadband Operators,Pakistan Telecommunication Authority,As per data received from Broadband Operators,,As per data received from Broadband Operators,,"Figures are as on 31st December, 2014 based on data received from Broadband Operators",Pakistan Telecommunication Authority,Figure is based on data received from Broadband Operators,Pakistan Telecommunication Authority,"Figures are as on 31st December, 2016",Pakistan Telecommunication Authority
Palestine,,,,,18,7'463,27'172,55'648,,,,155'964,186'380,213'065,235'142,274'500,320'500,,,,,,0.00,0.21,0.75,1.49,,,,3.79,4.42,4.92,5.30,6.03,6.87,,,,,,,,,,,,,,,,,ITU estimate.,,,,,,,,Palestinian Central Bureau of Statistics,,Palestinian Central Bureau of Statistics,,Palestinian Central Bureau of Statistics,,Ministry of Communications and Information Technology,,Palestinian Central Bureau of Statistics,,Palestinian Central Bureau of Statistics
Panama,,7'771,12'235,15'039,16'746,17'567,112'738,150'283,196'190,234'381,258'292,282'843,294'739,307'266,310'065,316'168,386'693,,,0.25,0.38,0.46,0.51,0.52,3.29,4.30,5.52,6.48,7.02,7.56,7.75,7.95,7.90,7.93,9.55,,,,,,,,,,,,,,,,,Autoridad Nacional de los Servicios Públicos.,,Autoridad Nacional de los Servicios Públicos (ASEP),,Autoridad Nacional de los Servicios Públicos (ASEP),,Autoridad Nacional de los Servicios Públicos (ASEP),,Autoridad Nacional de los Servicios Públicos (ASEP),,Autoridad Nacional de los Servicios Públicos (ASEP),,Autoridad Nacional de los Servicios Públicos (ASEP),,Autoridad Nacional de los Servicios Públicos (ASEP),Estimate.,Autoridad Nacional de los Servicios Públicos (ASEP),Estimate.,Autoridad Nacional de los Servicios Públicos (ASEP)
Papua New Guinea,,,,,,,,,2'987,4'453,6'100,7'500,9'200,11'300,13'200,15'000,17'000,0,,,,,,,,,0.05,0.07,0.09,0.11,0.13,0.15,0.18,0.20,0.22,,,,,,,,,,,,,,,,,,,National Information & Communications Technology Authority,,National Information & Communications Technology Authority,,National Information & Communications Technology Authority,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Paraguay,150,300,500,500,3'050,5'600,6'000,8'600,12'800,77'435,89'493,120'101,136'152,156'576,185'125,220'858,239'499,0,0.00,0.01,0.01,0.01,0.05,0.09,0.10,0.14,0.21,1.22,1.39,1.83,2.04,2.30,2.68,3.14,3.35,,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,Broadband is defined as 64kbps or more.,ITU estimate.,Broadband is defined as 64kbps or more.,Comisión Nacional de Telecomunicaciones.,Broadband is defined as 64kbps or more.,Comisión Nacional de Telecomunicaciones.,Broadband is defined as 64kbps or more.,Comisión Nacional de Telecomunicaciones.,Broadband is defined as 64kbps or more.,Comisión Nacional de Telecomunicaciones,"As of 2009, broadband is defined as 512 kbps or more.",Comisión Nacional de Telecomunicaciones,,Comisión Nacional de Telecomunicaciones,,Comisión Nacional de Telecomunicaciones - CONATEL,,Comisión Nacional de Telecomunicaciones - CONATEL,,Comisión Nacional de Telecomunicaciones - CONATEL,,Comisión Nacional de Telecomunicaciones - CONATEL,Estimate.,Comisión Nacional de Telecomunicaciones - CONATEL,Estimación a Diciembre/2016,Comisión Nacional de Telecomunicaciones - CONATEL
Peru,1'078,,37'401,93'908,227'610,352'622,484'899,570'218,725'563,827'663,932'503,1'211'767,1'442'784,1'612'812,1'767'057,1'999'459,2'120'762,,0.00,,0.14,0.35,0.83,1.27,1.73,2.01,2.53,2.86,3.19,4.09,4.81,5.31,5.74,6.42,6.72,,Includes ADSL 128/64kbps.,Ministerio de Transportes y Comunicaciones.,,,Includes ADSL 128/64kbps.,Ministerio de Transportes y Comunicaciones.,Includes ADSL 128/64kbps.,Ministerio de Transportes y Comunicaciones.,Includes ADSL 128/64kbps.,Ministerio de Transportes y Comunicaciones.,Includes ADSL 128/64kbps.,Ministerio de Transportes y Comunicaciones.,Includes ADSL 128/64kbps.,Ministerio de Transportes y Comunicaciones.,Includes ADSL 128/64kbps.,Ministerio de Transportes y Comunicaciones.,Includes ADSL 128/64kbps.,Ministerio de Transportes y Comunicaciones.,,Ministerio de Transportes y Comunicaciones,,Ministerio de Transportes y Comunicaciones,,Ministerio de Transportes y Comunicaciones,,Ministerio de Transportes y Comunicaciones,,Ministerio de Transportes y Comunicaciones,,Ministerio de Transportes y Comunicaciones,,Ministerio de Transportes y Comunicaciones,,Ministerio de Transportes y Comunicaciones
Philippines,,10'000,21'000,55'000,89'000,123'000,265'030,496'151,1'045'716,1'722'407,,1'791'000,2'146'600,2'572'800,2'900'000,4'870'182,"5,649,411",,,0.01,0.03,0.07,0.11,0.14,0.30,0.56,1.16,1.87,,1.88,2.22,2.61,2.90,4.78,5.46,,,,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,ITU estimate.,,ITU estimate.,,National Telecommunications Commission (NTC).,,BMI.,,Point Topic.,,Point Topic.,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,including fixed wireless.,DICT.,,ITU estimate.
Poland,,12'000,121'684,195'752,875'865,945'159,2'911'152,4'174'003,4'462'686,5'596'000,5'858'498,6'972'130,6'887'676,7'031'055,7'233'854,7'265'546,7'346'000,0.244066868,,0.03,0.32,0.51,2.29,2.47,7.62,10.93,11.69,14.65,15.34,18.25,18.03,18.40,18.93,19.01,19.22,,,,,Office of Electronic Communications.,,Office of Electronic Communications.,,Office of Electronic Communications.,,Office of Electronic Communications.,Speeds equal to or grater than 144 kbit/s.,Office of Electronic Communications.,,OECD.,,Office of Electronic Communications.,Speeds equal to or grater than 144 kbit/s.,Office of Electronic Communications,Speeds equal to or grater than 144 kbit/s.,Office of Electronic Communications,Speeds equal to or grater than 144 kbit/s.,Office of Electronic Communications,Speeds equal to or grater than 144 kbit/s.,Office of Electronic Communications,Speeds equal to or grater than 144 kbit/s.,Office of Electronic Communications,Speeds equal to or grater than 144 kbit/s.,Office of Electronic Communications,,Office of Electronic Communications,Speeds equal to or grater than 144 kbit/s.,Office of Electronic Communications,,ITU estimate.
Portugal,25'154,99'316,260'591,502'030,838'371,1'165'440,1'423'687,1'527'050,1'635'427,1'911'827,2'126'689,2'243'036,2'390'778,2'563'356,2'723'502,3'142'188,3'375'595,,0.24,0.96,2.51,4.81,8.00,11.09,13.51,14.47,15.47,18.07,20.08,21.17,22.55,24.16,25.67,29.62,31.82,,,Instituto das Comunicações de Portugal.,,Instituto das Comunicações de Portugal.,,Autoridade Nacional de Comunicacoes (ANACOM).,,Autoridade Nacional de Comunicacoes (ANACOM).,2Q.,Autoridade Nacional de Comunicacoes (ANACOM).,,Autoridade Nacional de Comunicacoes (ANACOM).,,OECD.,,Autoridade Nacional de Comunicacoes (ANACOM).,,Autoridade Nacional de Comunicaç?es,From this year data refer to number of lines and not number of clients (a business with several lines counts for the number of lines).,Autoridade Nacional de Comunicaç?es,,Autoridade Nacional de Comunicaç?es,,Autoridade Nacional de Comunicaç?es,,Autoridade Nacional de Comunicaç?es,,Autoridade Nacional de Comunicaç?es,,Autoridade Nacional de Comunicaç?es,,Autoridade Nacional de Comunicaç?es,,Autoridade Nacional de Comunicaç?es
Puerto Rico,,2'427,22'732,54'337,86'303,118'268,150'233,182'198,426'310,480'293,551'520,558'251,573'225,601'570,610'334,662'278,686'851,,,0.06,0.60,1.44,2.29,3.14,4.01,4.87,11.43,12.92,14.87,15.08,15.52,16.31,16.57,18.00,18.68,,,,,ITU estimate.,,Puerto Rico Telephone Company (PRTC).,,ITU estimate.,,ITU estimate.,,Puerto Rico Telephone Company (PRTC).,,ITU estimate.,,ITU estimate.,Source: Puerto Rico Telecommunications Regulatory Board. Excl. unregulated providers.,Instituto de Estadísticas.,Source: Puerto Rico Telecommunications Regulatory Board. Excl. unregulated providers.,Puerto Rico Institute of Statistics,Source: Puerto Rico Telecommunications Regulatory Board. Excl. unregulated providers.,Puerto Rico Institute of Statistics,Source: Puerto Rico Telecommunications Regulatory Board.,Puerto Rico Institute of Statistics,Source: Puerto Rico Telecommunications Regulatory Board.,Puerto Rico Institute of Statistics,Source: Puerto Rico Telecommunications Regulatory Board.,Puerto Rico Institute of Statistics,Source: Puerto Rico Telecommunications Regulatory Board. ,Puerto Rico Institute of Statistics,Source: Puerto Rico Telecommunications Regulatory Board.,Puerto Rico Institute of Statistics,Source: Puerto Rico Telecommunications Regulatory Board.,Puerto Rico Institute of Statistics
Qatar,,,228,2'991,10'915,25'609,46'773,87'673,106'177,144'760,145'787,164'601,185'127,215'487,224'633,237'774,260'002,,,,0.04,0.45,1.52,3.12,4.83,7.61,7.81,9.26,8.33,8.61,9.03,9.94,9.90,10.12,10.77,,,,,,,,,,,,,,,,,ictQATAR,,ictQATAR,,"ITU calculation. 
",Operators data/ictQATAR estimate.,ictQATAR,Operators data/ictQATAR estimate.,ictQATAR,Operators data/ictQATAR estimate.,ictQATAR,Operators' data,ictQATAR,,ictQATAR,,Ministry of Transport and Communications,,Ministry of Transport and Communications
Réunion [included in France data],,,,31'749,56'536,,,130'897,155'684,185'000,,,,,,,,,,,,4.11,7.21,,,16.05,18.85,22.13,,,,,,,,,,,,,,,,,,,,,,,,ITU estimate. ,,ITU estimate. ,,ITU estimate.,,,,,,,,,,,,,,
Romania,,6'000,15'800,196'106,104'265,377'090,1'090'000,1'952'200,2'517'400,2'812'600,3'000'600,3'283'150,3'541'340,3'790'270,4'015'855,4'262'132,4'448'950,,,0.03,0.07,0.88,0.47,1.71,4.94,8.87,11.46,12.84,13.73,15.05,16.28,17.47,18.56,19.75,20.68,,,,,,,,,,,,"Previously, mobile broadband was included.",,,,,ANCOM,,National Authority for Management and Regulation in Communications of Romania,,National Authority for Management and Regulation in Communications of Romania,"Incl. subscriptions at downstream speeds equal to, or greater than, 144 kbit/s (the number of subscriptions that are included in the 144-256 range is very low)",National Authority for Management and Regulation in Communications of Romania,"Incl. subscriptions at downstream speeds equal to, or greater than, 144 kbit/s (the number of subscriptions that are included in the 144-256 range is very low)",National Authority for Management and Regulation in Communications of Romania,"Incl. subscriptions at downstream speeds equal to, or greater than 144 kbit/s (the number of subscriptions that are included in the 144-256 range is insignificant)",National Authority for Management and Regulation in Communications of Romania,Incl. subscriptions at downstream speeds equal to or greater than 144 kbit/s (the number of subscriptions that are included in the 144-256 range is insignificant). ,National Authority for Management and Regulation in Communications of Romania,Incl. subscriptions at downstream speeds equal to or greater than 144 kbit/s (the number of subscriptions that are included in the 144-256 range is insignificant).,National Authority for Management and Regulation in Communications of Romania,Incl. subscriptions at downstream speeds equal to or greater than 144 kbit/s (the number of subscriptions that are included in the 144-256 range is insignificant). SIM based fixed connections are included.,National Authority for Management and Regulation in Communications,provisional data. Incl. subscriptions at downstream speeds equal to or greater than 144 kbit/s (the number of subscriptions that are included in the 144-256 range is insignificant). SIM based fixed connections are included.,National Authority for Management and Regulation in Communications
Russian Federation,,,11'000,343'000,675'000,1'589'000,2'900'000,4'900'000,9'280'000,12'900'000,15'700'000,17'634'806,20'923'296,23'745'346,24'950'550,26'881'463,27'589'485,,,,0.01,0.24,0.47,1.10,2.02,3.41,6.46,8.98,10.93,12.29,14.61,16.62,17.51,18.92,19.47,,,,,,,General State Supervisory Department for Communications. Ministry of Posts and Telecommunications.,,ITU estimate.,,General State Supervisory Department for Communications. Ministry of Posts and Telecommunications.,,Ministry for Information Technologies and Communications.,,Ministry for Information Technologies and Communications.,,TKK.,,"Advanced Communications & Media report, apr 2009.",,Ministry of Telecom and Mass Communications of the Russian Federation.,,Ministry of Telecom and Mass Communications of the Russian Federation,,Ministry of Telecom and Mass Communications of the Russian Federation,,Ministry of Telecom and Mass Communications of the Russian Federation,,ITU estimate.,,Ministry of Telecom and Mass Communications of the Russian Federation,,Ministry of Telecom and Mass Communications of the Russian Federation,,Ministry of Telecom and Mass Communications of the Russian Federation
Rwanda,,,,,1'148,1'180,1'704,2'543,1'120,2'214,3'942,8'645,5'498,2'781,2'917,21'125,21'721,,,,,,0.01,0.01,0.02,0.03,0.01,0.02,0.04,0.08,0.05,0.02,0.02,0.17,0.17,,,,,,,,,,,Wimax and fixed.,,,,,fixed wired broadband subscriptions at downstream speeds equal to or greater than 128kbps,Rwanda Information Technology Authority.,Estimate.,Rwanda Information Technology Authority. ,Estimate.,Rwanda Information Technology Authority.,,Agence Rwandaise de Régulation des Services d'Utilité Publique (RURA),,Rwanda Utilities Regulatory Authority (RURA),,Rwanda Utilities Regulatory Authority (RURA),,Rwanda Utilities Regulatory Authority (RURA),,Rwanda Utilities Regulatory Authority (RURA),,Rwanda Utilities Regulatory Authority (RURA),,Rwanda Utilities Regulatory Authority (RURA)
S. Tomé & Principe,,,,,,,125,308,344,443,585,737,778,978,1'100,1'314,1'425,,,,,,,,0.08,0.19,0.20,0.26,0.33,0.40,0.41,0.51,0.56,0.65,0.69,,,,,,,,,,,,,,,,,ITU estimate.,,Autoridade Geral de Regulação,,Autoridade Geral de Regulação,,Autoridade Geral de Regulação,,Autoridade Geral de Regulação,,Autoridade Geral de Regulação,,Autoridade Geral de Regulação,,ITU estimate.,,Autoridade Geral de Regulação,Utilisé plus pour les services publics,Autoridade Geral de Regulação
Samoa,,,,,32,65,98,130,160,200,200,,1'084,1'238,2'021,2'084,2'392,,,,,,0.02,0.04,0.05,0.07,0.09,0.11,0.11,,0.57,0.65,1.05,1.08,1.23,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,,,,,ITU estimate.,,Office of the Regulator.,"Refers to Bluesky and Digicel, the two main operators.",Office of the Regulator,"Figures obtained from Bluesky, CSL and Digicel Samoa",Office of the Regulator
San Marino,,,,600,1'076,1'220,1'480,1'599,4'900,5'446,5'992,6'538,9'902,10'231,11'700,11'641,12'000,,,,,2.09,3.67,4.10,4.91,5.26,16.04,17.74,19.42,21.06,31.69,32.53,36.98,36.60,37.57,,,,,,,,,,,,,,,,,Direzione Generale Poste e Telecomunicazioni.,,Direzione Generale Poste e Telecomunicazioni.,,ITU estimate.,,ITU estimate.,,Direzione Generale Poste e Telecomunicazioni,,Direzione Generale Poste e Telecomunicazioni,,Direzione Generale Poste e Telecomunicazioni,,ITU estimate.,,TELECOMMUNICATION SECTOR- Department of Economy,,ITU estimate.
Saudi Arabia,,14'000,34'782,45'982,68'700,67'798,218'176,623'116,1'048'098,1'437'718,1'711'598,1'951'457,2'540'151,2'919'701,3'032'237,3'564'976,3'287'663,,,0.07,0.16,0.20,0.29,0.27,0.86,2.40,3.98,5.37,6.28,7.03,8.98,10.13,10.32,11.92,10.81,,,,,Saudi Telecommunications Company.,,Saudi Telecommunications Company.,,Saudi Telecommunications Company.,,Saudi Telecommunications Company.,,ITU estimate.,,CITC Market Studies Department. ,,CITC Market Studies Department. ,,CITC Market Studies Department. ,,CITC,,Communication and Information Technology Commission,,Communication and Information Technology Commission,,Communication and Information Technology Commission,,Communication and Information Technology Commission,,Communication and Information Technology Commission,Includes subscriptions to fixed LTE.,,,Communication and Information Technology Commission
Senegal,,,1'200,2'383,7'665,18'028,28'926,38'132,47'358,58'720,78'647,92'713,95'561,106'733,103'362,100'611,98'353,,,,0.01,0.02,0.07,0.16,0.25,0.32,0.39,0.47,0.61,0.70,0.70,0.76,0.71,0.67,0.64,,,,,,,,,,,,,,,,,Agence de Régulation des Télécommunications et des Postes.,,Agence de Régulation des Télécommunications et des Postes.,,Agence de Régulation des Télécommunications et des Postes.,,Agence de Régulation des Télécommunications et des Postes (ARTP),,Agence de Régulation des Télécommunications et des Postes (ARTP),,Autorité de Régulation des Télécommunications et des Postes (ARTP),,Autorité de Régulation des Télécommunications et des Postes (ARTP),,Autorité de Régulation des Télécommunications et des Postes (ARTP),,Autorité de Régulation des Télécommunications et des Postes (ARTP),,Autorité de Régulation des Télécommunications et des Postes (ARTP)
Serbia,,,,,,33'486,121'727,325'730,457'181,590'586,859'892,970'407,1'063'977,1'173'635,1'191'078,1'320'230,1'428'586,,,,,,,0.41,1.49,4.03,5.70,7.41,10.87,12.41,13.71,15.23,15.57,17.38,18.95,,,,,,,,,,,,,,,Republic Telecommunication Agency RATEL.,,Republic Telecommunication Agency RATEL.,,Republic Telecommunication Agency RATEL.,,Republic Telecommunication Agency RATEL.,,Republic Agency for Electronic Communications (RATEL),,Republic Agency for Electronic Communications (RATEL),,Republic Agency for Electronic Communications (RATEL),,Regulatory  Agency for Electronic Communications and Postal Services (RATEL),,Regulatory  Agency for Electronic Communications and Postal Services (RATEL),,Regulatory  Agency for Electronic Communications and Postal Services (RATEL),,Regulatory  Agency for Electronic Communications and Postal Services (RATEL)
Seychelles,,,,,349,948,2'475,3'493,3'417,4'554,6'793,9'412,10'577,12'411,11'827,13'420,14'035,2,,,,,0.41,1.09,2.81,3.92,3.80,5.03,7.45,10.25,11.45,13.37,12.68,14.31,14.90,,,,,,,,,,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,Jan 2008.,MInistry of National Development,Jan 2009.,MInistry of National Development,Jan 2010.,MInistry of National Development,Jan 2011.,Vice President's Office Department of Information Communication Technology,,Department of Information Communications Technology at Vice President's Office,,"Office of the President, Department of Information Communications Technology ",,"Office of the President, Department of Information Communications Technology ",,"Office of the President, Department of Information Communications Technology ",,"Office of the President, Department of Information Communications Technology ",,"Office of the President, Department of Information Communications Technology "
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,69'000,151'000,270'000,417'100,545'200,656'200,787'900,926'000,1'071'200,1'233'500,1'338'400,1'408'200,1'432'800,1'493'400,1'474'000,1'486'200,1'454'800,,1.76,3.75,6.53,9.80,12.46,14.60,17.08,19.57,22.09,24.85,26.35,27.12,27.02,27.60,26.72,26.45,25.45,,,,,,,,,,,,,,,,,IDA.,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,Data is at as Dec 2016,Infocomm Development Authority of Singapore
Slovakia,,,4'083,22'461,78'764,181'538,304'615,546'664,604'688,775'056,876'953,953'098,1'045'490,1'109'060,1'191'216,1'273'812,1'336'541,,,,0.08,0.42,1.46,3.37,5.64,10.11,11.17,14.29,16.14,17.52,19.20,20.35,21.84,23.34,24.47,,,,,,,"Ministry of Transport, Posts and Telecommunications.",,"Ministry of Transport, Posts and Telecommunications.",,"Ministry of Transport, Posts and Telecommunications.",,"Ministry of Transport, Posts and Telecommunications.",,OECD.,,"Ministry of Transport, Posts and Telecommunications.",From this year excluding fixed wireless.,"Ministry of Transport, Construction and Regional Development of the Slovak Republic  ",,"Ministry of Transport, Construction and Regional Development of the Slovak Republic  ",,"Ministry of Transport, Construction and Regional Development of the Slovak Republic  ",,"Ministry of Transport, Construction and Regional Development of the Slovak Republic  ",,"Ministry of Transport, Construction and Regional Development of the Slovak Republic  ",,"Ministry of Transport, Construction and Regional Development of the Slovak Republic  ",,"Ministry of Transport, Construction and Regional Development of the Slovak Republic  ",,"Ministry of Transport, Construction and Regional Development of the Slovak Republic  ",,Ministry of Transport and Construction of the Slovak Republic  
Slovenia,,5'500,56'735,57'992,115'069,196'650,279'814,344'677,425'294,449'030,470'527,494'372,509'336,524'621,555'815,569'026,588'329,,,0.28,2.85,2.91,5.77,9.83,13.93,17.06,20.92,21.97,22.91,23.98,24.63,25.32,26.78,27.37,28.25,,,,,,,,,,,,,,,,,Post and Electronic Communications Agency of the Republic of Slovenia.,,Post and Electronic Communications Agency of the Republic of Slovenia,,Post and Electronic Communications Agency of the Republic of Slovenia,,Post and Electronic Communications Agency of the Republic of Slovenia,,Agency for Communication Networks and Services of the Republic of Slovenia,,Agency for Communication Networks and Services of the Republic of Slovenia,,Agency for Communication Networks and Services of the Republic of Slovenia,,Agency for Communication Networks and Services of the Republic of Slovenia,,Agency for Communication Networks and Services of the Republic of Slovenia,,Agency for Communication Networks and Services of the Republic of Slovenia
Solomon Islands,,,,,200,450,650,1'000,1'500,2'000,2'522,2'430,2'132,1'884,1'335,1'420,1'272,,,,,,0.04,0.10,0.14,0.20,0.30,0.39,0.48,0.45,0.39,0.34,0.23,0.24,0.21,,,,,,,,,,,Solomon Telekom Company Ltd.,,Solomon Telekom Company Ltd.,,ITU estimate.,,Solomon Telekom Company Ltd.,,ITU estimate. ,,ITU estimate.,,Telecommunications Commission of the Solomon Islands,,Telecommunications Commission of the Solomon Islands,,Telecommunications Commission of the Solomon Islands,,Telecommunications Commission of the Solomon Islands,,Telecommunications Commission of the Solomon Islands,,Telecommunications Commission of the Solomon Islands,,Telecommunications Commission of the Solomon Islands
Somalia,,,,,,,,,,,,,40'000,60'000,70'000,82'000,92'000,,,,,,,,,,,,,,0.39,0.57,0.65,0.74,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministry of Information, Posts and Telecommunications",,"Ministry of Information, Posts and Telecommunications",,Ministry of Posts and Telecommunications,,ITU estimate.,,ITU estimate.
South Africa,,,2'669,20'313,60'000,165'290,335'112,378'000,426'000,481'000,743'000,907'000,1'107'200,1'615'210,1'706'313,1'409'347,1'529'725,0,,,0.01,0.04,0.13,0.34,0.69,0.76,0.85,0.95,1.44,1.75,2.11,3.06,3.21,2.63,2.84,,,,,,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,ITU estimate.,,ICASA based on Ovum data.,,ITU estimate.,,ITU estimate.,,Independent Communications Authority of South Africa,,Independent Communications Authority of South Africa,,Independent Communications Authority of South Africa,,Independent Communications Authority of South Africa
Spain,76'358,466'600,1'247'496,2'121'930,3'401'411,5'035'203,6'739'110,8'055'780,9'135'959,9'800'597,10'652'372,11'167'809,11'524'543,12'252'061,13'004'969,13'542'906,13'941'138,,0.19,1.14,3.02,5.05,7.96,11.61,15.30,18.04,20.19,21.42,23.07,24.01,24.65,26.11,27.63,28.69,29.45,,,"Telefónica de España, S.A. Ministerio de Ciencia y Technología.",,"Telefónica de España, S.A. Ministerio de Ciencia y Technología.",,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones,,Comisión del Mercado de las Telecomunicaciones,,Comisión del Mercado de las Telecomunicaciones,,Comisión del Mercado de las Telecomunicaciones,,Comisión del Mercado de las Telecomunicaciones,,Comisión del Mercado de las Telecomunicaciones,,Comisión Nacional de los Mercados y la Competencia,,Comisión Nacional de los Mercados y la Competencia,,Comisión Nacional de los Mercados y la Competencia,,Comisión Nacional de los Mercados y la Competencia
Sri Lanka,,327,592,3'417,20'450,21'000,22'895,63'263,101'922,169'600,228'316,359'000,354'000,424'357,567'601,625'917,892'184,,,0.00,0.00,0.02,0.10,0.11,0.11,0.31,0.50,0.82,1.10,1.72,1.68,1.99,2.65,2.90,4.10,,,,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,ITU estimate. ,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka,Provisional. ,Telecommunications Regulatory Commission of Sri Lanka,,ITU estimate.,,Telecommunications Regulatory Commission of Sri Lanka,,Telecommunications Regulatory Commission of Sri Lanka,,Telecommunications Regulatory Commission of Sri Lanka,,Telecommunications Regulatory Commission of Sri Lanka
